id,userId,guildId,fishKey,quantity
"cmsv6cu6n001a12r6s3zhirez","1028709819667980403","1502898258610225304","peixe_comum","5"
"cmsxuddqe000ytmqx15wnjhv5","1527094211176828951","1502898258610225304","polvo_rosa","1"
"cmsuxqjw200m713ttpd7cm3up","1510415733950255124","1502898258610225304","escama_lendaria","3"
"cmsqzk2n400gbec7utu8esk9l","1520850000006086858","1502898258610225304","peixe_comum","18"
"cmsyuauxz007iwrttfzfm2rax","1534661961000816785","1502898258610225304","orca","0"
"cmsxv40a8000d25a2g4dpo6y1","1527094211176828951","1502898258610225304","orca","0"
"cmsy7m5j3012cdwwgtef215w5","1534661961000816785","1514852775068962897","betta_fogo","0"
"cmsyuamnq0077wrttgialtc4q","1534661961000816785","1502898258610225304","marlin_neon","0"
"cmsxwjb80004s25a27pi1rsbo","1534661961000816785","1514852775068962897","estrela_do_mar","0"
"cmsy7to9z017pdwwg9w5diudt","1534661961000816785","1514852775068962897","marlin_neon","0"
"cmsy7nrg30139dwwg1nak5s7y","1534661961000816785","1514852775068962897","piranha_rubra","0"
"cmsy7rk1s015mdwwg8kfxksic","1534661961000816785","1514852775068962897","tartaruga_marinha","0"
"cmsyub564007wwrttwsvpti2k","1534661961000816785","1502898258610225304","estrela_do_mar","0"
"cmsw2rjpr017xpueie9ve8x1d","1527094211176828951","1502898258610225304","marlin_neon","0"
"cmskn3zqw001afdfwis0cyf5y","1527094211176828951","1502898258610225304","escama_lendaria","4"
"cmsy87oof01ctdwwgk1tgqvt4","1534661961000816785","1502898258610225304","peixe_comum","0"
"cmsyvdaa6001324jlw3uc3hbb","1496705193008435292","1502898258610225304","marlin_neon","0"
"cmskn35re000kfdfwkte0wb9x","1527094211176828951","1502898258610225304","carpa_lendaria","0"
"cmsy873ss01cjdwwgklk64v4d","1534661961000816785","1502898258610225304","polvo_rosa","0"
"cmsy8ea6o01evdwwgrhwt0wkf","1534661961000816785","1502898258610225304","lagosta_espinhosa","0"
"cmstp8gxv02mse9k335ksegtk","1510415733950255124","1502898258610225304","peixe_comum","0"
"cmsv721j8003da9lgdxv999hg","1527094211176828951","1502898258610225304","piranha_rubra","0"
"cmsxuchen000etmqxy3663pv5","1527094211176828951","1502898258610225304","lagosta_espinhosa","0"
"cmsz5cplr00l4ntu6f4hlnd1m","1510415733950255124","1502898258610225304","lagosta_espinhosa","0"
"cmszd6onw01gtntu69uqkn8sb","1510415733950255124","1502898258610225304","estrela_do_mar","0"
"cmsvty9ty00x0pueifo90qzzb","1510415733950255124","1502898258610225304","carpa_lendaria","0"
"cmsuxppu800lm13tt18id4hh6","1510415733950255124","1502898258610225304","marlin_neon","0"
"cmsz5crad00l8ntu6p9dwrfs9","1510415733950255124","1502898258610225304","tartaruga_marinha","0"
"cmszd5e3a01ffntu6s19iik2n","1510415733950255124","1502898258610225304","polvo_rosa","0"
